Titolo,Link,Prompt Title,Contenuto
ChatGPT takes on Google with new search feature,https://www.superhuman.ai/p/chatgpt-takes-on-google-with-new-search-feature,Friday Funday - Spook-tinis,"Prompt: Generate a list of spooky Halloween-themed cocktail recipes that will impress your guests. Include creepy names, ingredients, and instructions for each drink: [Specify any preferences for specific types of cocktails or ingredients]"
AI-Powered Drug Discovery,https://www.superhuman.ai/p/ai-powered-drug-discovery,It’s launch time,"Prompt: Compose an attention-grabbing email to announce an upcoming launch for [your brand or business]. Highlight [your key features and benefits], and create a sense of urgency to encourage immediate action."
GitHub's coding future,https://www.superhuman.ai/p/github-s-coding-future,Learn Anything,Prompt: I want to learn about [insert topic – e.g.: IT Project Management]. Identify and share the most important 20% of learnings from this topic that will help me understand 80% of it.
Apple Intelligence is here,https://www.superhuman.ai/p/apple-intelligence-is-here,Create an optimized FAQ page,"Prompt:  I'm writing an article on [detailed article topic] and want to include an FAQ section to improve the content's SEO performance and provide value to readers. Act as an SEO expert skilled in creating optimized FAQ content. Generate five frequently asked questions closely related to the article's main topic, naturally incorporating the following target keywords: [keywords]. For each question, provide a clear, concise answer that fully addresses the query in 150 words or fewer. Ensure the questions are phrased how users might search for this information on Google, and the answers provide substantial, unique value to stand out in search results. Here's an example of the type of output I'm looking for: (Example of a good output)."
From Chatbots to Computer Control,https://www.superhuman.ai/p/from-chatbots-to-computer-control,Design Online Courses,"Prompt: Design an engaging online course with personalized learning experiences. Customize content, pace, and assessments to optimize student outcomes. Leverage interactive multimedia and real-time feedback for maximum engagement. Blend self-paced and instructor-led activities to support diverse learning styles."
Sunday Special,https://www.superhuman.ai/p/sunday-special-c062,Titolo del prompt non trovato.,Contenuto non trovato.
"OpenAI's Next AI giant could be ""Orion""",https://www.superhuman.ai/p/openai-s-next-ai-giant-could-be-orion,Friday Funday - Yoga Time,"Prompt: I want you to act as a yogi. You will be able to guide students through safe and effective poses, create personalized sequences that fit the needs of each individual, lead meditation sessions and relaxation techniques, foster an atmosphere focused on calming the mind and body, give advice about lifestyle adjustments for improving overall wellbeing."
Apple rolls out ChatGPT integration,https://www.superhuman.ai/p/apple-rolls-out-chatgpt-integration,Brand Strategy,Prompt: Create a step-by-step guide for branding managers at [business type] that provides [products/services] on how to use branding to build customer loyalty and create a powerful emotional connection with their customers.
Meet the AI that can actually use your PC,https://www.superhuman.ai/p/meet-the-ai-that-can-actually-use-your-pc,PMF,"Prompt: Using the ‘Product-Market Fit’ framework, please write a marketing campaign outline that demonstrates how our {product/service} is a perfect fit for the needs and pain points of {ideal customer persona}. Identify the specific problems faced by the target market, explain how our product addresses these issues, and provide evidence or testimonials to back up our claims. Emphasize the benefits of using our product and how it can improve the reader’s life or business."
The AI agent showdown begins,https://www.superhuman.ai/p/the-ai-agent-showdown-begins,Got Leftovers?,"Prompt: I have<howmuchofleftover>leftover<typeoffood>from<mealoroccasion>, and I’m not sure what to do with it. Please suggest some ideas or recipes to help me use them and reduce food waste."
